sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00003.pt:223,adaptive_shard_00003.pt,223,heavy,1.0,8.3733549118042,2,3,base,nan,0.05742604523517307,0.027441975869263665,-17.82664969205582,19.593170166015625,20.308246612548828,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00003.pt:223,adaptive_shard_00003.pt,223,heavy,1.0,8.3733549118042,2,3,v1_s0p75,nan,0.05708393167100679,0.026160521142110208,-17.281030594835272,17.456127166748047,18.113122940063477,-0.0003421135641662812,-0.0012814547271534568,0.5456190972205484,-2.137042999267578,-2.1951236724853516
adaptive_shard_00003.pt:224,adaptive_shard_00003.pt,224,clean,0.0,0.0,0,0,degraded,nan,0.9999999999084085,0.9999999997227539,99.82022317296206,3.472994327545166,3.4730024337768555,0.024389986199107483,0.05330092784535956,71.239312906723,-5.571439266204834,-6.079934120178223
adaptive_shard_00003.pt:224,adaptive_shard_00003.pt,224,clean,0.0,0.0,0,0,base,nan,0.975610013709301,0.9466990718773943,28.58091026623906,9.04443359375,9.552936553955078,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00003.pt:224,adaptive_shard_00003.pt,224,clean,0.0,0.0,0,0,v1_s0p75,nan,0.9749978819313906,0.9426886554867457,28.295926196747203,7.4012861251831055,7.036308765411377,-0.0006121317779104185,-0.004010416390648586,-0.2849840694918555,-1.6431474685668945,-2.516627788543701
adaptive_shard_00003.pt:225,adaptive_shard_00003.pt,225,light,0.0,0.0,1,1,degraded,nan,0.9984048883259831,0.9833227453954763,42.34842277996373,11.129176139831543,13.01221752166748,0.021868124107020437,0.0388693109363103,13.853194942683643,-1.1660184860229492,-1.886983871459961
adaptive_shard_00003.pt:225,adaptive_shard_00003.pt,225,light,0.0,0.0,1,1,base,nan,0.9765367642189626,0.944453434459166,28.495227837280083,12.295194625854492,14.899201393127441,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00003.pt:225,adaptive_shard_00003.pt,225,light,0.0,0.0,1,1,v1_s0p75,nan,0.9755653279268668,0.9385317694404665,28.158196792539158,10.766866683959961,11.979171752929688,-0.0009714362920958397,-0.005921665018699507,-0.33703104474092527,-1.5283279418945312,-2.920029640197754
adaptive_shard_00003.pt:226,adaptive_shard_00003.pt,226,medium,1.0,18.24713134765625,2,1,degraded,nan,0.9051226277680381,0.5947347023182934,18.164260761899964,34.3899040222168,39.82695007324219,0.036557278121587045,-0.1326206215625414,-7.49223718218521,20.84021282196045,26.60328960418701
adaptive_shard_00003.pt:226,adaptive_shard_00003.pt,226,medium,1.0,18.24713134765625,2,1,base,nan,0.868565349646451,0.7273553238808348,25.656497944085174,13.549691200256348,13.223660469055176,0.0,0.0,0.0,0.0,0.0
