sample_id,shard_file,offset,severity,noise_target,snr_target,bandwidth_target,bit_target,method,pesq,stoi,estoi,si_sdr,lsd,hf_lsd,delta_stoi_vs_base,delta_estoi_vs_base,delta_si_sdr_vs_base,delta_lsd_vs_base,delta_hf_lsd_vs_base
adaptive_shard_00065.pt:227,adaptive_shard_00065.pt,227,heavy,1.0,6.137774467468262,2,3,degraded,nan,0.8282939536555086,0.5988784553133893,5.647446730058836,38.45124816894531,43.67816162109375,-0.019504332709239902,-0.11370404167592063,-6.738459846869447,22.278371810913086,25.907066345214844
adaptive_shard_00065.pt:227,adaptive_shard_00065.pt,227,heavy,1.0,6.137774467468262,2,3,base,nan,0.8477982863647485,0.71258249698931,12.385906576928283,16.172876358032227,17.771095275878906,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:227,adaptive_shard_00065.pt,227,heavy,1.0,6.137774467468262,2,3,v1_s0p75,nan,0.848742502725085,0.7149404761248794,12.404684762949396,15.918258666992188,17.63230323791504,0.0009442163603364806,0.0023579791355694546,0.018778186021112475,-0.25461769104003906,-0.1387920379638672
adaptive_shard_00065.pt:228,adaptive_shard_00065.pt,228,clean,0.0,0.0,0,0,degraded,nan,0.999999998919829,0.9999999986653357,92.6877892313636,0.5171471238136292,0.518965482711792,0.01199162741220916,0.038927885635439696,59.612083283580795,-6.258497655391693,-6.223878622055054
adaptive_shard_00065.pt:228,adaptive_shard_00065.pt,228,clean,0.0,0.0,0,0,base,nan,0.9880083715076199,0.961072113029896,33.0757059477828,6.775644779205322,6.742844104766846,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:228,adaptive_shard_00065.pt,228,clean,0.0,0.0,0,0,v1_s0p75,nan,0.9878574551888135,0.9568877898812195,31.97603031131107,6.905713081359863,6.3064141273498535,-0.00015091631880637113,-0.004184323148676561,-1.09967563647173,0.13006830215454102,-0.4364299774169922
adaptive_shard_00065.pt:229,adaptive_shard_00065.pt,229,light,0.0,0.0,1,2,degraded,nan,0.997595968995765,0.9818995725292183,33.25882011465738,10.115163803100586,12.358831405639648,0.01819733074731711,0.051740432194518626,4.007191148905839,-2.2113475799560547,-2.0902185440063477
adaptive_shard_00065.pt:229,adaptive_shard_00065.pt,229,light,0.0,0.0,1,2,base,nan,0.9793986382484479,0.9301591403346997,29.251628965751543,12.32651138305664,14.449049949645996,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:229,adaptive_shard_00065.pt,229,light,0.0,0.0,1,2,v1_s0p75,nan,0.9793254770553138,0.93015780937745,29.052595208321623,12.133467674255371,13.266793251037598,-7.316119313405256e-05,-1.3309572497455235e-06,-0.1990337574299197,-0.19304370880126953,-1.1822566986083984
adaptive_shard_00065.pt:230,adaptive_shard_00065.pt,230,medium,1.0,24.09632682800293,2,1,degraded,nan,0.960774554115707,0.8644304545081735,18.74751255295521,23.544727325439453,27.949138641357422,0.011228315608315942,-0.0034142517412311113,-0.6417056062439883,7.515628814697266,9.765493392944336
adaptive_shard_00065.pt:230,adaptive_shard_00065.pt,230,medium,1.0,24.09632682800293,2,1,base,nan,0.9495462385073911,0.8678447062494046,19.3892181591992,16.029098510742188,18.183645248413086,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:230,adaptive_shard_00065.pt,230,medium,1.0,24.09632682800293,2,1,v1_s0p75,nan,0.9491451721738501,0.8622198269075207,19.53632921412845,16.853912353515625,18.663257598876953,-0.0004010663335409781,-0.005624879341883826,0.14711105492925114,0.8248138427734375,0.4796123504638672
adaptive_shard_00065.pt:231,adaptive_shard_00065.pt,231,heavy,1.0,7.210156440734863,2,3,degraded,nan,0.840951026172332,0.6099854075430038,6.939032277615266,36.10966110229492,41.74706268310547,-0.04183543937287593,-0.11846676434412318,-7.83801807333136,20.49166774749756,25.362552642822266
adaptive_shard_00065.pt:231,adaptive_shard_00065.pt,231,heavy,1.0,7.210156440734863,2,3,base,nan,0.8827864655452079,0.728452171887127,14.777050350946626,15.617993354797363,16.384510040283203,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:231,adaptive_shard_00065.pt,231,heavy,1.0,7.210156440734863,2,3,v1_s0p75,nan,0.8824593892917002,0.7265829596483625,14.796727510350678,16.329137802124023,17.000688552856445,-0.00032707625350769653,-0.0018692122387644616,0.019677159404052347,0.7111444473266602,0.6161785125732422
adaptive_shard_00065.pt:232,adaptive_shard_00065.pt,232,clean,0.0,0.0,0,0,degraded,nan,0.9999999999999654,0.9999999999998337,104.99002032253479,5.943638324737549,5.943502902984619,0.047350573194677836,0.10064899264908356,80.50108070793422,-1.543508529663086,-1.4243392944335938
adaptive_shard_00065.pt:232,adaptive_shard_00065.pt,232,clean,0.0,0.0,0,0,base,nan,0.9526494268052875,0.8993510073507501,24.488939614600575,7.487146854400635,7.367842197418213,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:232,adaptive_shard_00065.pt,232,clean,0.0,0.0,0,0,v1_s0p75,nan,0.9524137466484124,0.8943198319762864,24.448030188868035,5.61100959777832,5.387922286987305,-0.00023568015687513988,-0.005031175374463737,-0.04090942573253997,-1.8761372566223145,-1.9799199104309082
adaptive_shard_00065.pt:233,adaptive_shard_00065.pt,233,light,0.0,0.0,1,1,degraded,nan,0.9956506474707391,0.9710604274644579,28.339752078874753,11.028751373291016,12.475807189941406,0.03248560570589376,0.07567053684255809,4.274325433505972,-0.0913705825805664,-0.9823312759399414
adaptive_shard_00065.pt:233,adaptive_shard_00065.pt,233,light,0.0,0.0,1,1,base,nan,0.9631650417648453,0.8953898906218998,24.06542664536878,11.120121955871582,13.458138465881348,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:233,adaptive_shard_00065.pt,233,light,0.0,0.0,1,1,v1_s0p75,nan,0.962765412697268,0.889736068480708,23.992754761048797,9.913798332214355,11.796187400817871,-0.00039962906757728955,-0.005653822141191811,-0.07267188431998406,-1.2063236236572266,-1.6619510650634766
adaptive_shard_00065.pt:234,adaptive_shard_00065.pt,234,medium,1.0,22.020206451416016,2,1,degraded,nan,0.8839145585015133,0.7497855203907674,20.075474055231446,26.673757553100586,31.292217254638672,0.08580901603477642,-0.013391033994910706,-1.5966621091586894,12.5747652053833,15.687475204467773
adaptive_shard_00065.pt:234,adaptive_shard_00065.pt,234,medium,1.0,22.020206451416016,2,1,base,nan,0.7981055424667369,0.7631765543856781,21.672136164390135,14.098992347717285,15.604742050170898,0.0,0.0,0.0,0.0,0.0
adaptive_shard_00065.pt:234,adaptive_shard_00065.pt,234,medium,1.0,22.020206451416016,2,1,v1_s0p75,nan,0.7980393215395183,0.7637479885789668,21.755330453939866,14.265728950500488,15.876575469970703,-6.622092721864092e-05,0.0005714341932886446,0.08319428954973063,0.16673660278320312,0.2718334197998047
adaptive_shard_00065.pt:235,adaptive_shard_00065.pt,235,heavy,1.0,7.7328410148620605,2,3,degraded,nan,0.7826420580683163,0.5357150702132722,7.5654339519954235,38.125694274902344,43.969852447509766,0.0013253309105004663,-0.11224128967314928,-8.973700636223427,24.129226684570312,29.34831714630127
adaptive_shard_00065.pt:235,adaptive_shard_00065.pt,235,heavy,1.0,7.7328410148620605,2,3,base,nan,0.7813167271578159,0.6479563598864215,16.53913458821885,13.996467590332031,14.621535301208496,0.0,0.0,0.0,0.0,0.0
