sample_id,severity,method,si_sdr,lsd,hf_lsd,stoi,estoi
adaptive_shard_00000.pt:53,light,v1_uncond,22.508329709613925,12.233603477478027,12.713534355163574,0.9493193739326299,0.8589508145697965
adaptive_shard_00000.pt:53,light,v1_cond,22.5189865144347,12.226127624511719,12.70605182647705,0.949307106235292,0.8589514950032133
adaptive_shard_00000.pt:54,medium,base,15.486427186882466,14.489904403686523,16.47258186340332,0.7762284293564213,0.6614755283819692
adaptive_shard_00000.pt:54,medium,v1_uncond,15.588535506549475,14.065463066101074,14.878351211547852,0.7776569889415451,0.6657715213145033
adaptive_shard_00000.pt:54,medium,v1_cond,15.589965523332603,14.061211585998535,14.873581886291504,0.7776466526568886,0.6657763851722559
adaptive_shard_00000.pt:55,heavy,base,13.403021171471662,12.111455917358398,12.7537202835083,0.6487030058321616,0.5120327199574016
adaptive_shard_00000.pt:55,heavy,v1_uncond,13.380515453068117,12.513420104980469,12.98277759552002,0.6493162493727841,0.5107059918286168
adaptive_shard_00000.pt:55,heavy,v1_cond,13.38551018961941,12.481708526611328,12.982110977172852,0.6492629288328203,0.5108391943072483
adaptive_shard_00000.pt:56,clean,base,-5.522455471124578,8.45405387878418,9.672224044799805,0.7543465879273414,0.7856582178989892
adaptive_shard_00000.pt:56,clean,v1_uncond,-5.286430602717097,7.497799396514893,6.437538146972656,0.7512742984926398,0.7806462850803794
adaptive_shard_00000.pt:56,clean,v1_cond,-5.283548087522798,7.4961981773376465,6.4427409172058105,0.7511843388618316,0.7805897562287715
adaptive_shard_00000.pt:57,light,base,-5.948755524979563,10.173477172851562,10.291996002197266,0.3375172564895672,0.3477971522465597
adaptive_shard_00000.pt:57,light,v1_uncond,-5.766310412555371,8.423189163208008,6.985544681549072,0.33628551767528486,0.3463764877709093
adaptive_shard_00000.pt:57,light,v1_cond,-5.764351072433637,8.420060157775879,6.986575603485107,0.33630146704387615,0.3463858159695915
adaptive_shard_00000.pt:58,medium,base,-4.16900831887684,10.217909812927246,9.51679801940918,0.10715487233015568,0.06584285762519691
adaptive_shard_00000.pt:58,medium,v1_uncond,-3.9941581188472073,9.897475242614746,9.109701156616211,0.10529494580575041,0.0632863717942605
adaptive_shard_00000.pt:58,medium,v1_cond,-3.995522033427438,9.896367073059082,9.109834671020508,0.10533885482063673,0.06336332782386825
adaptive_shard_00000.pt:59,heavy,base,-2.5459663099922407,12.41128158569336,11.656725883483887,0.036516608131994296,0.024325023282458655
adaptive_shard_00000.pt:59,heavy,v1_uncond,-2.3812036809133206,11.176307678222656,10.656266212463379,0.03636307461123974,0.023696197306986296
adaptive_shard_00000.pt:59,heavy,v1_cond,-2.3920096952713896,11.2041015625,10.661029815673828,0.036401899187676355,0.023820196354819783
adaptive_shard_00000.pt:60,clean,base,22.80727507005695,11.454667091369629,11.644760131835938,0.9612941064390998,0.8787566874231052
adaptive_shard_00000.pt:60,clean,v1_uncond,22.754851391373926,7.848560333251953,7.211459636688232,0.960447214440701,0.8723581114118256
adaptive_shard_00000.pt:60,clean,v1_cond,22.763718728962303,7.849062919616699,7.213924407958984,0.9604070824919999,0.8722917146643058
adaptive_shard_00000.pt:61,light,base,21.892756570212303,12.816526412963867,13.791234970092773,0.9605173783361132,0.8303111768621584
adaptive_shard_00000.pt:61,light,v1_uncond,21.921807617515793,10.823342323303223,11.138227462768555,0.9606816530437475,0.8295892762385526
adaptive_shard_00000.pt:61,light,v1_cond,21.928011043159774,10.822309494018555,11.138555526733398,0.9606771491005017,0.8295821322750225
adaptive_shard_00000.pt:62,medium,base,17.937282475103203,14.491254806518555,15.414246559143066,0.9395575873004883,0.7006098789400017
adaptive_shard_00000.pt:62,medium,v1_uncond,18.008163404131462,14.44518756866455,15.614340782165527,0.939387426213394,0.6995403891912166
adaptive_shard_00000.pt:62,medium,v1_cond,18.010621206080085,14.444762229919434,15.613421440124512,0.9393789275133807,0.6995348822831503
adaptive_shard_00000.pt:63,heavy,base,14.467455421600132,15.634847640991211,16.306962966918945,0.8292474185549492,0.59227899424213
